Saliency,Classifier,Extractor,Concept Presence,Classes,Fin,Head,Ears,Muzzle,Paws,Tail,Body,Button,Speaker,Digital display,Chain bar,Rose window,Facade,Bell Tower,Bell,Cab,Wheel,Headlights,Hose,Tank,Nozzle,Golf ball dimples,Logo,Canopy,WOE Score
sidu,resnet,florence,iou,tench,-0.4018936757405675,-0.6270279019130534,-5.56002617098544,-1.1827815827035473,0.9173924420149844,0.9725137017656712,1.0732809777513048,-0.4018936757405675,-3.2177272059045627,-8.51392171405764,-0.425533137886646,-8.387810751954989,-4.720368956188238,-4.612063961093255,-7.220358889217166,-0.7928103127449797,-1.3666264926863596,-8.790358033111593,-5.56002617098544,-1.690670990515098,-0.4018936757405675,-8.262692970684816,-0.1195410941968937,-7.719884558902797,7.558063804249905
sidu,resnet,florence,iou,English springer,-0.1277759810539023,3.2655304372660794,-5.285908476298775,3.3933008275892087,0.8888074257422236,2.216252795303056,0.8453096923881849,-0.1277759810539023,-1.1219261961001856,-2.1258103437630584,-0.5742560792951656,0.1330185059807163,-4.446251261501573,-2.541683464266077,-6.946241194530501,1.9565776056991635,-1.5779201833243408,-3.102440018404152,-5.285908476298775,-3.08039762000473,-0.1277759810539023,-7.98857527599815,-8.718910111274216,-1.3133803997083038,10.06248775807668
sidu,resnet,florence,iou,cassette player,-0.1045301767459654,-9.31497054372248,-5.262662671990838,-2.0143532724294806,0.0773424910407261,-7.865286598158866,-2.824246654854874,-0.1045301767459654,2.3301016824758007,1.7481660659092628,0.0753320650562474,0.230442218457926,-4.423005457193636,-1.059930866344348,-6.922995390222564,-1.93619785264204,-1.0692629936917577,1.0961432167047984,0.2986975158856249,0.6980519744176246,-0.1045301767459654,-7.965329471690213,-0.0448229797504513,-1.290134595400367,15.072619169333132
sidu,resnet,florence,iou,chain saw,-0.0293768502267512,-2.213380557196141,1.8715904452099488,-1.2317769543021715,-6.07142301879008,-1.6697925020187498,0.5851051620082339,-0.0293768502267512,-0.0440786193582924,-0.8997693933488913,-0.020001523667902,-0.9583684136749722,-4.347852130674422,0.1408002751912689,-6.84784206370335,-0.481610870236445,-0.4024810061819992,-3.0040408875770006,1.245737096698034,-0.1293811734622956,-0.0293768502267512,-2.472442614030488,-0.3021806382798777,-0.4884950859549546,2.2324987753905563
sidu,resnet,florence,iou,church,-0.0238340175867186,-3.13025184032526,-5.181966512831592,-7.358074720048794,-6.065880186150046,-7.784590438999618,-10.552824506426225,-0.0238340175867186,-1.4366765964467003,-2.720261528069581,0.0837144218304462,0.1584232762144863,6.479955029410991,1.712877352068152,-6.842299231063317,-3.371569576573085,-8.51369661382125,-8.412298374957743,-5.181966512831592,-1.8406434592006709,-0.0238340175867186,-7.884633312530965,-0.8613072207620371,0.7660256519080304,25.17717062467173
sidu,resnet,florence,iou,French horn,-0.012674440896728,0.0278124935513299,1.2624395060280569,-1.9224975365802432,-0.5860767323100116,-1.2375673963417588,0.6341660078729885,-0.012674440896728,-1.1958204149204228,-0.3410525566117339,0.0477812431988944,-0.941666004344949,-4.331149721344398,-0.5553667315352251,2.9153299778520325,-1.9640368620821131,2.757617620091509,0.2256815253958743,1.262439506028057,-1.5617133409169273,-0.012674440896728,-7.873473735840975,0.2696781406469457,-7.330665324058958,3.2633587762335243
sidu,resnet,florence,iou,garbage truck,0.0773769747726067,-9.133063392203908,-5.080755520472266,-7.256863727689469,-5.964669193790721,-2.264634083162487,-2.26444171495452,0.0773769747726067,-2.7384565553913887,-0.982906880613328,0.0013460250415882,0.9499318202348056,-4.241098305675063,-1.6337753458079538,-6.741088238703991,1.504633134098725,-1.0260828555774482,-8.311087382598418,-5.080755520472266,1.346778748066903,0.0773769747726067,-7.78342232017164,-0.8702020086095206,-0.1411355838416708,0.5379017567177393
sidu,resnet,florence,iou,gas pump,0.1297036367547579,-9.08073673022176,0.532931329386348,-0.346794099854752,-5.91234253180857,-1.5107120150372406,-1.2544738801229154,0.1297036367547579,0.7942940480489924,1.5999156530526846,0.3265640389661346,1.368754014263921,-4.188771643692912,1.3921374814977108,-0.5341816681813745,-0.9911215709678364,-0.6013619650797755,-2.148391215011032,1.4048175836795431,1.1018753471039435,0.1297036367547579,-7.731095658189489,-0.0809699053053294,1.2057569262858407,2.049720148704492
sidu,resnet,florence,iou,golf ball,0.3238356526167005,-1.675493497426582,0.7270633452482906,-0.8785644514587196,1.6431217703722525,-2.0181754053183933,-1.844172552576893,0.3238356526167005,-0.5093999841585775,0.0987563848236305,0.3440250244374261,-0.4141767435079906,-3.9946396278309697,-0.1356552331968483,1.5267594795992652,-9.126863190601352,0.283724970680578,2.6331040579105696,-4.834296842628172,0.3409632092319472,0.3238356526167005,7.125793030537427,1.1742970435776277,-0.4399696479825641,17.25693109302048
sidu,resnet,florence,iou,parachute,0.3424825659822268,-1.6568465840610558,-4.815649929262646,-6.991758136479849,-5.699563602581101,-0.1568749909682041,-0.5644932506536633,0.3424825659822268,-2.4733509641817686,-7.769545472334844,0.1945732138199156,-7.6434345102321934,-3.975992714465443,-1.5542550178452657,-6.475982647494371,-3.0052529930041394,-8.147380030252304,-0.281462886685925,-4.815649929262646,-1.2673352847187442,0.3424825659822268,-7.51831672896202,1.0466880386033497,1.6681873370833955,10.723792161084086
