Saliency,Classifier,Extractor,Concept Presence,Classes,Wall,Window,Roof,Facade,Tree,Vegetation,Rock,Ice,Mountain Peak,Boat,Beach,Water,Sky,Sidewalk,Streetlights,Car,WOE Score
lime,vgg,florence,iou,street,1.0828504538418464,0.3536906914820448,1.3342481625727052,0.0424724369266884,0.5137400363376143,-0.9157144779101204,-2.849224642662233,-2.518504357858043,-4.342952960228088,1.334117987551252,0.1317478914944725,-0.8055240106319199,0.3140929780190642,2.5335941128636703,7.432197761535321,4.57066512656205,21.667896926950043
lime,vgg,groundingdino,cas,buildings,-0.1608633203569551,0.314054267767175,0.2248566511230081,1.1132969424281498,0.244552066095503,-0.9852996702565922,-2.1115514059197205,-8.615240698318587,-1.1202633268823836,-1.5497499774002546,-0.9058512606616732,-1.8211226215117813,-0.5349927300369914,-1.061600933091212,0.4608712078301491,-0.2506049865124002,13.601857227207246
lime,vgg,groundingdino,cas,forest,-3.701786920098913,-1.254514258194495,-1.0804038873543391,-1.829242763405614,-0.7762970216124923,0.8038928060575213,-2.149971102501718,-8.3298850152369,-3.7142649946581208,-9.868296470798226,-0.6016143532959815,-2.880187069343204,-1.2396601338380586,-0.6328792310685913,-1.6691598471922116,-2.855558984871879,20.68790405674101
lime,vgg,groundingdino,cas,glacier,0.2820430744905411,-0.2421372067104579,-0.0624380034069147,-1.5423103901286426,-1.3699166843794397,-0.5272103712293872,0.71554418163891,2.531274790386834,0.8059813577800232,-0.5877427664380395,-0.4782391302974718,0.6721375612308376,0.0374140605471045,0.5342681221587271,-1.8199855989501608,-10.397622214943269,15.564278849873192
lime,vgg,groundingdino,cas,mountain,-0.592139617175135,0.177391364582448,0.1156159722475937,-0.8124463616813578,0.1753826023813933,0.7560088245604091,0.6740817804283206,0.4669954334793329,1.2509263426858503,-0.5841477846302574,0.0857666654719035,0.242230653672596,0.5741997117789426,-0.544239189818283,-0.7694501655808117,-1.2611114192158182,4.747179190917629
lime,vgg,groundingdino,cas,sea,0.4919743673324039,-0.3071652513497169,0.1489444675580555,-0.8249580307190465,-0.561251255427341,-0.3572444166397135,0.9717887970967334,-0.8479475688469131,0.3402564414660505,2.764080553900949,0.6646252179413457,1.665159258066944,0.639059033629596,0.3105183974402472,-0.5821199551467018,-1.8672411299206648,8.698845620293508
lime,vgg,groundingdino,cas,street,1.0414445683112068,0.7937358925389433,0.4143065668113463,1.1763426281853342,1.2777122600252178,-0.3829700692014488,-0.2337996504480992,-7.745790220162164,-1.3537367558662776,-1.362092067522371,1.0352083088989306,-2.199497644272344,0.2489239298805285,0.9627119724241344,1.7902069593400889,2.987970533064355,17.47928967709797
lime,vgg,groundingdino,casp,buildings,-0.4323427833388868,0.2092028118350537,0.1238556827967793,1.1628887106271446,0.1521733597314578,-1.026178508152635,-2.333371447708372,-8.35675072489867,-1.1533205143260925,-2.099472557461768,-1.0044524917112485,-2.060494287859229,-0.8642448656814918,-1.264140614578695,0.4179515173631829,-0.2728521129446817,13.451446123421178
lime,vgg,groundingdino,casp,forest,-2.682230980335422,-1.3302049102957882,-1.470220641380962,-1.5786865234608856,-0.7085758720692139,0.3324577114737319,-2.837061698944096,-8.071395041816984,-3.703095555007213,-9.335534962119862,-0.7190968086295624,-4.641080500268798,-1.2493116176240917,-0.6611228928325512,-1.311285564456823,-3.2117420586413528,18.463731206052696
lime,vgg,groundingdino,casp,glacier,0.4106053354222696,-0.0411149268958335,0.0092650355569432,-1.1036837297552464,-1.3687009756784705,-0.2552038849667835,0.7646204727350001,1.948396125069339,0.9739230879603044,-0.7659247109469611,-0.2664555383145157,0.7787047662687357,0.1982497251236885,0.5669442762021296,-1.845744373571976,-3.428599975990293,8.176345636933354
